CODCONTA,CODMOV,CODTIPMOV,DATA,VALOR,OBS,DOCUMENTO,CODFORNEC,DATAEMISSAO,MES,IDREMESSA,VINCULADO,SALDOANT,SALDOATUAL,CODCAIXA_LANC,IDCODDESP_LANC,DEPOSITO_VINC,DESBLOQ_DEP,SELECIONADO,ORIGEM_LANC,ORIGEM_IDLANC,CONC_CONCILIADO,CONC_DATA,CONC_NUMERO,CONC_VALOR,CONC_OPERACAO,CONC_TIPOCONC
2,2015,99,2023-12-11,2311.47,Pagamento de salário (csp) SIMONE APAREC,,0,,12/2023,0,0,,,,1334,,,,,,1,2023-12-11,PIX_DEB   91879,2311.47,-,3
2,2016,99,2023-12-11,300,Pagamento de salário (csp) ANA PAULA DOS,,0,,12/2023,0,0,,,,1335,,,,,,1,2023-12-11,CX497748  73442,300,-,3
2,2017,99,2023-12-11,165,Décimo-terceiro (csp) RAQUEL OSSUNA DE C,,0,,12/2023,0,0,,,,1336,,,,,,1,2023-12-11,PIX_DEB   04809,165,-,3
2,2018,4,2023-12-11,2000,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,572,1,2023-12-11,PIX_CRED  00623,2000,+,3
2,2019,4,2023-12-11,1985,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,573,1,2023-12-11,PIX_CRED  02733,1985,+,3
2,2020,99,2023-12-11,60,Serviços prestados (csp) CORAO FLOR,,0,,12/2023,0,0,,,,1337,,,,,,1,2023-12-11,PIX_DEB   50309,60,-,3
2,2021,4,2023-12-11,1241,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,574,1,2023-12-11,PIX_CRED  88935,1241,+,3
2,2022,4,2023-12-11,1206,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,575,1,2023-12-11,PIX_CRED  03584,1206,+,3
2,2023,99,2023-12-11,0.77,Tarifas bancárias TARIFA COM LIQUIDAÇAO,,0,,12/2023,0,0,,,,1338,,,,,,1,2023-12-11,COB000001 -16,0.77,-,3
2,2024,99,2023-12-12,355.49,Juros pagos JUROS CHQ ESPECIAL,,0,,12/2023,0,0,,,,1339,,,,,,1,2023-12-12,REP029    -17,355.49,-,3
2,2025,4,2023-12-12,1495.29,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,576,1,2023-12-12,491873745 -18,1495.29,+,3
2,2026,4,2023-12-12,740,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,577,1,2023-12-12,COB000001 -19,740,+,3
2,2027,4,2023-12-12,12593.8,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,578,1,2023-12-12,491958708 -20,12593.8,+,3
2,2028,4,2023-12-12,16620.87,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,579,1,2023-12-12,491958710 -21,16620.87,+,3
2,2029,4,2023-12-12,936.33,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,580,1,2023-12-12,491958712 -22,936.33,+,3
2,2030,4,2023-12-12,758.56,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,581,1,2023-12-12,491958713 -23,758.56,+,3
2,2031,4,2023-12-12,1000,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,582,1,2023-12-12,PIX_CRED  63785,1000,+,3
2,2032,99,2023-12-12,208,Despesas de copa SALGADOS ,,0,,12/2023,0,0,,,,1340,,,,,,1,2023-12-12,CX583780  24733,208,-,3
2,2033,99,2023-12-12,300,Formatura HELIO CASSIANO,,0,,12/2023,0,0,,,,1341,,,,,,1,2023-12-12,CX637795  82283,300,-,3
2,2034,99,2023-12-12,80,Formatura FORMATURA STACY COSTA FRANCO,,0,,12/2023,0,0,,,,1342,,,,,,1,2023-12-12,PIX_DEB   95742,80,-,3
2,2035,99,2023-12-12,19677.57,Outros Materiais Didaticos SOMOS,,0,,12/2023,0,0,,,,1343,,,,,,1,2023-12-12,49323314000114,19677.57,-,3
2,2037,99,2023-12-12,17459.92,Outros Materiais Didaticos SOMOS NF-7454,,0,,12/2023,0,0,,,,1345,,,,,,1,2023-12-12,49323314000114,17459.92,-,4
2,2038,99,2023-12-12,44.3,Fretes FRETE QUIMISSUL,,0,,12/2023,0,0,,,,1346,,,,,,1,2023-12-12,PIX_DEB   96509,44.3,-,3
2,2039,99,2023-12-12,249.22,Pagamento de terceiros - FACEMS/NAV CONT,,0,,12/2023,0,0,,,,1347,,,,,,1,2023-12-12,BRTELPR-G 76535,249.22,-,3
2,2040,99,2023-12-12,245.66,Pagamento de terceiros - FACEMS/NAV CONT,,0,,12/2023,0,0,,,,1348,,,,,,1,2023-12-12,BRTELPR-G 76535,245.66,-,4
2,2041,4,2023-12-12,200,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,583,1,2023-12-12,PIX_CRED  82727,200,+,3
2,2042,99,2023-12-12,2240,Décimo-terceiro (csp) FABRICIO DA ROCHA ,,0,,12/2023,0,0,,,,1349,,,,,,1,2023-12-12,PIX_DEB   00226,2240,-,3
2,2043,4,2023-12-13,1109.34,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,584,1,2023-12-13,492357685 -35,1109.34,+,3
2,2044,4,2023-12-13,731,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,585,1,2023-12-13,PIX_CRED  87350,731,+,3
2,2045,4,2023-12-13,1291,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,586,1,2023-12-13,CX416835  01456,1291,+,3
2,2046,4,2023-12-13,170,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,587,1,2023-12-13,CX453191  89367,170,+,3
2,2047,4,2023-12-13,850,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,588,1,2023-12-13,PIX_CRED  63785,850,+,3
2,2048,5,2023-12-13,29000,RECEBIMENTO PIX,,,,12/2023,0,0,0,0,0,0,0,,0,,,1,2023-12-13,PIX_CRED  08645,29000,+,2
2,2049,99,2023-12-13,20643.56,Outros Materiais Didaticos PARCELAMENTO ,,0,,12/2023,0,0,,,,1350,,,,,,1,2023-12-13,I00772    49323,20643.56,-,3
2,2050,99,2023-12-13,8340.88,Outros Materiais Didaticos PARCELAMENTO ,,0,,12/2023,0,0,,,,1351,,,,,,1,2023-12-13,I00776    49323,8340.88,-,3
2,2051,4,2023-12-13,85,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,589,1,2023-12-13,PIX_CRED  88935,85,+,3
2,2052,4,2023-12-13,85,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,590,1,2023-12-13,PIX_CRED  65302,85,+,3
2,2053,5,2023-12-13,3880.78,RECEBIMENTO PIX,,,,12/2023,0,0,0,0,0,0,0,,0,,,1,2023-12-13,PIX_CRED  04571,3880.78,+,2
2,2054,99,2023-12-13,100,Doações REDE CANCER,,0,,12/2023,0,0,,,,1352,,,,,,1,2023-12-13,CX860752  05369,100,-,3
2,2055,99,2023-12-13,3880.78,Pagamento de terceiros - CEI/ITAQ FGTS C,,0,,12/2023,0,0,,,,1353,,,,,,1,2023-12-13,FGTS      -129,3880.78,-,3
2,2056,99,2023-12-13,200,Doações APAE,,0,,12/2023,0,0,,,,1354,,,,,,1,2023-12-13,PIX_DEB   03907,200,-,3
2,2057,99,2023-12-13,200,Pagamento de salário (csp) ANA CARLA PER,,0,,12/2023,0,0,,,,1355,,,,,,1,2023-12-13,PIX_DEB   04098,200,-,3
2,2058,99,2023-12-13,80,Material de limpeza (csp) SABAO DE ALCOO,,0,,12/2023,0,0,,,,1356,,,,,,1,2023-12-13,PIX_DEB   81363,80,-,3
2,2059,99,2023-12-13,7,Tarifas bancárias TED SOMOS,,0,,12/2023,0,0,,,,1357,,,,,,1,2023-12-13,-133,7,-,3
2,2060,99,2023-12-13,1.54,Tarifas bancárias TARICA COM R LIQUIDAÇA,,0,,12/2023,0,0,,,,1358,,,,,,1,2023-12-13,COB000002 -134,1.54,-,3
2,2061,4,2023-12-14,1272.36,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,591,1,2023-12-14,COB000002 -135,1272.36,+,3
2,2062,99,2023-12-14,950,PAGAMENTO PIX,,,,12/2023,0,0,0,0,0,1359,0,,0,,,1,2023-12-14,PIX_DEB   04571,950,-,2
2,2063,99,2023-12-14,691.5,Serviços prestados (csp) PIUI LANCHES,,0,,12/2023,0,0,,,,1360,,,,,,1,2023-12-14,PIX_DEB   84168,691.5,-,3
2,2064,4,2023-12-14,85,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,592,1,2023-12-14,PIX_CRED  06624,85,+,3
2,2065,4,2023-12-14,1000,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,593,1,2023-12-14,PIX_CRED  77693,1000,+,3
2,2066,99,2023-12-14,140,Pagamento de terceiros - CEI/ITAQ 2 EXAM,,0,,12/2023,0,0,,,,1361,,,,,,1,2023-12-14,CX754049  07699,140,-,3
2,2100,99,2023-12-15,59,Pagamento de terceiros - FACEMS/NAV GABR,,0,,12/2023,0,0,,,,1387,,,,,,,,,,,
2,2101,99,2023-12-15,59,Pagamento de terceiros - FACEMS/NAV FERN,,0,,12/2023,0,0,,,,1388,,,,,,,,,,,
2,2102,99,2023-12-15,9956.83,CARTÃO CREDITO FATURA CARTAO CN,,0,,12/2023,0,0,,,,1389,,,,,,1,2023-12-15,CM597383  -176,9956.83,-,3
2,2103,99,2023-12-15,59,Pagamento de terceiros - FACEMS/DOU ,,0,,12/2023,0,0,,,,1390,,,,,,,,,,,
2,2104,99,2023-12-18,1.54,Tarifas bancárias TARIFA BAIXA BOLETOS,,0,,12/2023,0,0,,,,1391,,,,,,1,2023-12-18,COB000002 -1,1.54,-,3
2,2105,99,2023-12-18,400,Formatura TROCO VENDA CHOPP,,0,,12/2023,0,0,,,,1392,,,,,,1,2023-12-18,PIX_DEB   09541,400,-,3
2,2106,99,2023-12-18,103.25,Formatura TROCO VENDA CHOPP,,0,,12/2023,0,0,,,,1393,,,,,,1,2023-12-18,CX277985  03146,103.25,-,3
1,2107,4,2023-12-18,2610.75,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,602,,,,,,
2,2108,4,2023-12-18,256.05,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,603,1,2023-12-18,493700341 -4,256.05,+,3
2,2109,4,2023-12-18,766.94,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,604,1,2023-12-18,493700347 -5,766.94,+,3
2,2110,4,2023-12-18,44.31,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,605,1,2023-12-18,493700352 -6,44.31,+,3
2,2356,99,2024-01-16,100,Pagamento de terceiros - FACEMS/IGUATEMI,,0,,01/2024,0,0,,,,1593,,,,,,1,2024-01-16,CX197089  76493,100,-,3
2,2111,5,2023-12-18,15896,RECEBIMENTO PIX,,,,12/2023,0,0,0,0,0,0,0,,0,,,1,2023-12-18,PIX_CRED  04535,15896,+,2
2,2112,99,2023-12-18,15896,Formatura JANTAR FORMATURA,,0,,12/2023,0,0,,,,1394,,,,,,1,2023-12-18,PIX_DEB   15510,15896,-,3
2,2113,5,2023-12-18,6550,RECEBIMENTO PIX,,,,12/2023,0,0,0,0,0,0,0,,0,,,1,2023-12-18,PIX_CRED  08645,6550,+,2
2,2114,99,2023-12-18,1174.59,Pagamento de terceiros - FACEMS/NAV FGTS,,0,,12/2023,0,0,,,,1395,,,,,,1,2023-12-18,FGTS      -10,1174.59,-,3
2,2115,99,2023-12-18,933.6,Pagamento de terceiros - FACEMS/NAV FGTS,,0,,12/2023,0,0,,,,1396,,,,,,1,2023-12-18,FGTS      -11,933.6,-,3
2,2116,99,2023-12-18,3872.74,Pagamento de terceiros - FACEMS/NAV INSS,,0,,12/2023,0,0,,,,1398,,,,,,1,2023-12-18,DARFC0385 00394,3872.74,-,3
2,2117,99,2023-12-18,547.12,Pagamento de terceiros - FACEMS/IGUATEMI,,0,,12/2023,0,0,,,,1399,,,,,,1,2023-12-18,FGTS      -13,547.12,-,3
2,2118,99,2023-12-18,70,Pagamento de terceiros - CEI/ITAQ EXAMES,,0,,12/2023,0,0,,,,1400,,,,,,1,2023-12-18,CX768502  07699,70,-,3
2,2119,99,2023-12-18,0.77,Tarifas bancárias TARIFA BAIXA DE TITULO,,0,,12/2023,0,0,,,,1401,,,,,,,,,,,
2,2120,4,2023-12-19,270,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,606,1,2023-12-19,CX119162  00401,270,+,3
2,2121,99,2023-12-19,59,Pagamento de terceiros - FACEMS/ITAQ VAL,,0,,12/2023,0,0,,,,1402,,,,,,1,2023-12-19,38733648000140,59,-,3
2,2122,99,2023-12-19,59,Pagamento de terceiros - FACEMS/NAV DILO,,0,,12/2023,0,0,,,,1403,,,,,,,,,,,
2,2123,99,2023-12-19,59,Pagamento de terceiros - FACEMS/NAV GEAN,,0,,12/2023,0,0,,,,1404,,,,,,,,,,,
2,2124,99,2023-12-19,59,Pagamento de terceiros - FACEMS/ITAQ CEL,,0,,12/2023,0,0,,,,1405,,,,,,,,,,,
2,2125,99,2023-12-19,54,Pagamento de terceiros - FACEMS/NAV MICH,,0,,12/2023,0,0,,,,1406,,,,,,,,,,,
2,2126,99,2023-12-19,190,Pagamento de terceiros - CN/NAV LOCAÇAO ,,0,,12/2023,0,0,,,,1407,,,,,,1,2023-12-19,CX496425  02098,190,-,3
2,2127,4,2023-12-19,6700,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,607,,,,,,
2,2128,99,2023-12-19,59,Pagamento de terceiros - FACEMS/NAV GUST,,0,,12/2023,0,0,,,,1408,,,,,,,,,,,
2,2129,99,2023-12-19,59,Pagamento de terceiros - FACEMS/NAV DENI,,0,,12/2023,0,0,,,,1409,,,,,,,,,,,
2,2130,99,2023-12-19,59,Pagamento de terceiros - FACEMS/NAV GUIL,,0,,12/2023,0,0,,,,1410,,,,,,,,,,,
2,2131,99,2023-12-19,59,Pagamento de terceiros - FACEMS/NAV RICA,,0,,12/2023,0,0,,,,1411,,,,,,,,,,,
2,2132,99,2023-12-19,2.31,Tarifas bancárias TARIFA COM RECEBIMENTO,,0,,12/2023,0,0,,,,1412,,,,,,1,2023-12-19,COB000003 -28,2.31,-,3
2,2133,4,2023-12-20,701.36,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,608,1,2023-12-20,494820019 -29,701.36,+,3
2,2134,4,2023-12-20,7426.17,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,609,1,2023-12-20,COB000003 -30,7426.17,+,3
2,2135,4,2023-12-20,35,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,610,1,2023-12-20,PIX_CRED  71239,35,+,3
2,2136,2,2023-12-20,53300,RECEBIMENTO PIX,,,,12/2023,0,0,0,0,0,0,0,,0,,,1,2023-12-20,PIX_CRED  08645,53300,+,2
2,2137,99,2023-12-20,605.38,Pagamento de salario DEB. FOLHA,,0,,12/2023,0,0,,,,1413,,,,,,1,2023-12-20,ND8----04 -33,605.38,-,3
2,2138,99,2023-12-20,447.73,Salario Base (csp) FOLHA ,,0,,12/2023,0,0,,,,1414,,,,,,1,2023-12-20,ND8----04 -34,447.73,-,3
2,2139,99,2023-12-20,633.33,Salario Base (csp) DEB. FOLHA PAGTO,,0,,12/2023,0,0,,,,1415,,,,,,1,2023-12-20,ND8----04 -36,633.33,-,3
2,2140,99,2023-12-20,44.42,Pagamento de salario DEB. FOLHA PAGTO,,0,,12/2023,0,0,,,,1416,,,,,,1,2023-12-20,ND8----04 -37,44.42,-,3
2,2141,99,2023-12-20,50781.47,Salario Base (csp) FOLHA PAGTO,,0,,12/2023,0,0,,,,1417,,,,,,1,2023-12-20,ND8----04 -38,50781.47,-,3
2,2142,99,2023-12-20,500,Pagamento de salario(Cei) APARECIDA PORT,,0,,12/2023,0,0,,,,1418,,,,,,1,2023-12-20,PIX_DEB   04096,500,-,3
2,2143,99,2023-12-20,3000,Pagamento de salario WANIA APARECIDA DE ,,0,,12/2023,0,0,,,,1419,,,,,,,,,,,
2,2144,99,2023-12-20,4000,Aluguel de imóvel (csp) ALUGUEL LEAOZINH,,0,,12/2023,0,0,,,,1420,,,,,,1,2023-12-20,PIX_DEB   84732,4000,-,3
2,2145,99,2023-12-20,2715.94,Pagamento de salário (csp) ROSEMAR RODRI,,0,,12/2023,0,0,,,,1421,,,,,,1,2023-12-20,PIX_DEB   82983,2715.94,-,3
2,2147,99,2023-12-20,1641.16,Pagamento de salário (csp) SOLANGE DA SI,,0,,12/2023,0,0,,,,1423,,,,,,1,2023-12-20,PIX_DEB   04452,1641.16,-,3
2,2148,99,2023-12-20,666.6,Pagamento de salário (csp) MARIA FERNAND,,0,,12/2023,0,0,,,,1424,,,,,,1,2023-12-20,PIX_DEB   07372,666.6,-,3
2,2149,99,2023-12-20,34,Pagamento de salário (csp) MARCILENE MED,,0,,12/2023,0,0,,,,1425,,,,,,1,2023-12-20,PIX_DEB   77336,34,-,3
2,2150,99,2023-12-20,20,Pagamento de salário (csp) ELIANE FORTUN,,0,,12/2023,0,0,,,,1426,,,,,,1,2023-12-20,PIX_DEB   50172,20,-,3
2,2151,99,2023-12-20,1324.96,Pagamento de salário (csp) ELIANE FORTUN,,0,,12/2023,0,0,,,,1427,,,,,,,,,,,
2,2152,4,2023-12-21,462.1,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,611,1,2023-12-21,495649468 -48,462.1,+,3
2,2153,4,2023-12-21,15775.26,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,612,1,2023-12-21,495649827 -49,15775.26,+,3
2,2154,4,2023-12-21,15166.13,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,613,1,2023-12-21,495649427 -50,15166.13,+,3
2,2155,99,2023-12-21,712.6,Multa rescisória (csp) MULTA THAIS,,0,,12/2023,0,0,,,,1428,,,,,,1,2023-12-21,FGTS      -51,712.6,-,3
2,2156,99,2023-12-21,808.73,Pagamento de terceiros - CEI/ITAQ MULTA ,,0,,12/2023,0,0,,,,1429,,,,,,1,2023-12-21,FGTS      -52,808.73,-,3
2,2157,99,2023-12-21,2738.85,Multa rescisória (csp) MULTA VIVIANE,,0,,12/2023,0,0,,,,1430,,,,,,1,2023-12-21,FGTS      -53,2738.85,-,3
2,2158,99,2023-12-21,4575.71,Multa rescisória (csp) MULTA NAIRALINE,,0,,12/2023,0,0,,,,1431,,,,,,1,2023-12-21,FGTS      -54,4575.71,-,3
2,2159,99,2023-12-21,3635.53,Multa rescisória (csp) MULTA RAYANE,,0,,12/2023,0,0,,,,1432,,,,,,1,2023-12-21,FGTS      -55,3635.53,-,3
2,2160,99,2023-12-21,405.87,Multa rescisória (csp) MULTA EVELLYN,,0,,12/2023,0,0,,,,1433,,,,,,1,2023-12-21,FGTS      -56,405.87,-,3
2,2161,99,2023-12-21,4500,Formatura FORMATURA,,0,,12/2023,0,0,,,,1434,,,,,,1,2023-12-21,CX535147  20740,4500,-,3
2,2162,99,2023-12-21,1164.09,Multa rescisória (csp) MULTA ANA CARLA,,0,,12/2023,0,0,,,,1435,,,,,,1,2023-12-21,FGTS      -58,1164.09,-,3
2,2163,99,2023-12-21,1811.98,Multa rescisória (csp) MULTA LEANDRO,,0,,12/2023,0,0,,,,1436,,,,,,1,2023-12-21,FGTS      -59,1811.98,-,3
2,2164,99,2023-12-21,1752.49,Multa rescisória (csp) MULTA DANIEL,,0,,12/2023,0,0,,,,1437,,,,,,1,2023-12-21,FGTS      -60,1752.49,-,3
2,2165,99,2023-12-21,150,Direitos de uso de softwares PONTO ELETR,,0,,12/2023,0,0,,,,1438,,,,,,1,2023-12-21,50051537000159,150,-,3
2,2166,99,2023-12-21,35.67,Pagamento de terceiros - FACEMS/NAV IP F,,0,,12/2023,0,0,,,,1439,,,,,,1,2023-12-21,37518828000146,35.67,-,3
2,2167,99,2023-12-21,159,Pagamento de terceiros - FACEMS/DOU PAPE,,0,,12/2023,0,0,,,,1440,,,,,,1,2023-12-21,232243609 05646,159,-,3
2,2168,99,2023-12-21,402,Pagamento de terceiros - CN/NAV COROA DE,,0,,12/2023,0,0,,,,1441,,,,,,1,2023-12-21,SI01541   17976,402,-,3
2,2169,99,2023-12-21,198,Pagamento de terceiros - FACEMS/DOU PAPE,,0,,12/2023,0,0,,,,1442,,,,,,1,2023-12-21,232245644 05646,198,-,3
2,2170,99,2023-12-21,112.35,Pagamento de terceiros - FACEMS/NAV INTE,,0,,12/2023,0,0,,,,1443,,,,,,,,,,,
2,2171,99,2023-12-21,153.2,Internet (csp) INTERNET,,0,,12/2023,0,0,,,,1444,,,,,,,,,,,
2,2172,99,2023-12-21,301.5,Material de expediente (csp) MATERIAL ,,0,,12/2023,0,0,,,,1445,,,,,,1,2023-12-21,08726563000335,301.5,-,3
2,2173,99,2023-12-21,300,Pagamento de salário (csp) KELI PATRICIA,,0,,12/2023,0,0,,,,1446,,,,,,1,2023-12-21,PIX_DEB   02619,300,-,3
2,2174,99,2023-12-21,300,Pagamento Salario(Facems)  DANIELLY CARO,,0,,12/2023,0,0,,,,1447,,,,,,1,2023-12-21,PIX_DEB   04552,300,-,3
2,2175,99,2023-12-21,195.44,Pagamento de terceiros - CEI/ITAQ OLIFER,,0,,12/2023,0,0,,,,1448,,,,,,1,2023-12-21,PIX_DEB   36807,195.44,-,3
2,2176,99,2023-12-21,283.96,Pagamento de salario(Cei) FERIAS CRISTIA,,0,,12/2023,0,0,,,,1449,,,,,,1,2023-12-21,PIX_DEB   00059,283.96,-,3
2,2177,99,2023-12-21,264,Pagamento de salario(Cei) FÉRIAS JENIFER,,0,,12/2023,0,0,,,,1450,,,,,,1,2023-12-21,PIX_DEB   07113,264,-,3
2,2178,99,2023-12-21,368.69,Pagamento de salario(Cei) FERIAS BEATRIZ,,0,,12/2023,0,0,,,,1451,,,,,,1,2023-12-21,PIX_DEB   03765,368.69,-,3
2,2179,99,2023-12-21,577.08,Pagamento de salario(Cei) FERIAS LUIZ HE,,0,,12/2023,0,0,,,,1452,,,,,,1,2023-12-21,CX597939  04105,577.08,-,3
2,2180,99,2023-12-21,264,Pagamento de salario(Cei) FERIAS SILVANA,,0,,12/2023,0,0,,,,1453,,,,,,1,2023-12-21,CX596405  00288,264,-,3
2,2181,99,2023-12-21,700,Pagamento de salario(Cei) FERIAS LUCIANE,,0,,12/2023,0,0,,,,1454,,,,,,1,2023-12-21,PIX_DEB   45460,700,-,3
2,2182,4,2023-12-21,567,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,614,1,2023-12-21,499094930 -78,567,+,3
2,2183,4,2023-12-21,1000,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,615,1,2023-12-21,PIX_CRED  59630,1000,+,3
2,2184,99,2023-12-21,2625,Pagamento de salário (csp) LETICIA PRIMO,,0,,12/2023,0,0,,,,1455,,,,,,1,2023-12-21,PIX_DEB   04862,2625,-,3
2,2185,99,2023-12-21,3500,Pro-labore PROCESSO TRABALHISTA-LUIZ FEL,,0,,12/2023,0,0,,,,1456,,,,,,1,2023-12-21,PIX_DEB   33959,3500,-,3
2,2186,99,2023-12-21,888,Pagamento de salário (csp) JUCIELY MORET,,0,,12/2023,0,0,,,,1457,,,,,,1,2023-12-21,PIX_DEB   02702,888,-,3
2,2187,99,2023-12-21,0.77,Tarifas bancárias TARIFA BOLETOS,,0,,12/2023,0,0,,,,1458,,,,,,1,2023-12-21,COB000001 -83,0.77,-,3
2,2188,4,2023-12-22,387.71,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,616,1,2023-12-22,COB000001 -84,387.71,+,3
2,2189,4,2023-12-22,50,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,617,1,2023-12-22,PIX_CRED  73442,50,+,3
2,2190,4,2023-12-22,650,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,618,1,2023-12-22,PIX_CRED  76164,650,+,3
2,2191,99,2023-12-22,264,Pagamento de salario(Cei) FERIAS ROSANGE,,0,,12/2023,0,0,,,,1459,,,,,,1,2023-12-22,PIX_DEB   00234,264,-,3
2,2192,99,2023-12-22,329.67,Segurança patrimonial/ pessoal SEG. VIDA,,0,,12/2023,0,0,,,,1460,,,,,,,,,,,
2,2193,4,2023-12-22,270,Venda Depósito Bancário,,0,,12/2023,0,0,,,,,,,,VD,619,,,,,,
2,2194,99,2023-12-28,3000,Pagamento de terceiros - FACEMS/NAV PAGA,,0,,12/2023,0,0,,,,1461,,,,,,1,2023-12-28,PIX_DEB   05044,3000,-,3
2,2195,99,2024-01-02,1.54,Tarifas bancárias TARIFA DE BAIXA DE TIT,,0,,01/2024,0,0,,,,1462,,,,,,1,2024-01-02,COB000002 -91,1.54,-,3
2,2196,99,2024-01-02,2.48,Tarifas bancárias TARIFA IOF BASICO CH P,,0,,01/2024,0,0,,,,1463,,,,,,1,2024-01-02,Iof.BAsic -92,2.48,-,3
2,2197,99,2024-01-02,123.11,Tarifas bancárias TARIFA IOF,,0,,01/2024,0,0,,,,1464,,,,,,1,2024-01-02,Iof.ADic. -93,123.11,-,3
2,2198,4,2024-01-03,650,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,620,1,2024-01-03,PIX_CRED  34748,650,+,3
2,2199,4,2024-01-03,2300,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,621,1,2024-01-03,PIX_CRED  73325,2300,+,3
2,2200,4,2024-01-03,8823.16,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,622,1,2024-01-03,CX671846  06263,8823.16,+,3
2,2201,4,2024-01-05,70304.37,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,623,1,2024-01-05,PIX_CRED  37315,70304.37,+,3
2,2202,99,2024-01-05,50,Tarifas bancárias PLANO INT CAPITAL,,0,,01/2024,0,0,,,,1465,,,,,,1,2024-01-05,COTA      -98,50,-,3
2,2203,99,2024-01-05,3194.12,Locação de Equipamentos LOCAÇAO DE IMPRE,,0,,01/2024,0,0,,,,1466,,,,,,1,2024-01-05,PIX_DEB   12706,3194.12,-,3
2,2204,99,2024-01-05,158.39,Tarifas bancárias TARIFAS PGTO SALARIO,,0,,01/2024,0,0,,,,1467,,,,,,1,2024-01-05,TARIFA    CTA.,158.39,-,3
2,2205,4,2024-01-08,2030.82,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,624,1,2024-01-08,PIX_CRED  03540,2030.82,+,3
2,2206,4,2024-01-08,580,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,625,1,2024-01-08,PIX_CRED  85976,580,+,3
2,2207,98,2024-01-08,9300,PAGAMENTO PIX,,,,01/2024,0,0,0,0,0,1468,0,,0,,,1,2024-01-08,PIX_DEB   36167,9300,-,2
2,2208,4,2024-01-09,3330.31,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,626,1,2024-01-09,501038319 -104,3330.31,+,3
2,2209,4,2024-01-09,21180.29,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,627,1,2024-01-09,501306105 -105,21180.29,+,3
2,2210,4,2024-01-09,30861.61,Venda Depósito Bancário,,0,,01/2024,0,0,,,,,,,,VD,628,1,2024-01-09,501306102 -106,30861.61,+,3
2,2211,2,2024-01-09,38000,TRANSF ENTRE CONTAS,,,,01/2024,0,0,0,0,0,0,0,,0,,,1,2024-01-09,SI00804   82034,38000,+,2
